Uptime,Volts,Temp,Door,I,N
2313,11.91,19.57,0,1,764
2316,11.91,19.49,1,1,765
2319,11.91,19.49,0,1,766
2322,11.91,19.57,1,1,767
2325,11.91,19.57,1,1,768
2328,11.91,19.57,0,1,769
2331,11.91,19.57,0,1,770
2334,11.91,19.57,0,1,771
2337,11.91,19.66,0,1,772
2340,11.91,19.57,0,1,773
2343,11.89,19.57,0,1,774
2346,11.91,19.57,1,1,775
2349,11.91,19.49,1,1,776
2352,11.91,19.49,0,1,777
2355,11.91,19.49,0,1,778
2358,11.91,19.49,0,1,779
2361,11.91,19.49,0,1,780
2364,11.91,19.49,0,1,781
2367,11.91,19.57,0,1,782
2370,11.89,19.57,0,1,783
2373,11.89,19.57,0,1,784
2376,11.91,19.57,0,1,785
2379,11.91,19.49,0,1,786
2382,11.91,19.57,0,1,787
2385,11.91,19.57,0,1,788
2389,11.91,19.66,0,1,789
2392,11.89,19.66,0,1,790
2395,11.99,19.57,0,1,791
2398,11.91,19.66,0,1,792
2401,11.91,19.66,0,1,793
2404,11.91,19.66,0,1,794
2407,11.91,19.66,0,1,795
2410,11.91,19.66,0,1,796
2413,11.91,19.66,0,1,797
2416,11.91,19.66,0,1,798
2419,11.89,19.57,0,1,799
2422,11.91,19.66,0,1,800
2425,11.91,19.57,0,1,801
2428,11.91,19.57,0,1,802
2431,11.91,19.57,0,1,803
2434,11.91,19.57,0,1,804
2437,11.91,19.66,0,1,805
2440,11.91,19.57,0,1,806
2443,11.91,19.66,0,1,807
2446,11.91,19.57,0,1,808
2449,11.91,19.66,0,1,809
2452,11.91,19.66,0,1,810
2455,11.91,19.57,0,1,811
2458,11.91,19.57,0,1,812
2461,11.91,19.57,0,1,813
2464,11.91,19.66,0,1,814
2467,11.89,19.49,0,1,815
2471,11.91,19.57,0,1,816
2474,11.89,19.49,0,1,817
2477,11.91,19.57,1,1,818
2480,11.91,19.49,0,1,819
2483,11.91,19.49,0,1,820
2486,11.91,19.49,0,1,821
2489,11.91,19.57,0,1,822
2492,11.91,19.49,0,1,823
2495,11.91,19.49,0,1,824
2498,11.91,19.49,0,1,825
2501,11.89,19.40,1,1,826
2504,11.91,19.49,0,1,827
2507,11.89,19.49,0,1,828
2510,11.91,19.49,0,1,829
2513,11.91,19.49,0,1,830
2516,11.91,19.57,0,1,831
2519,11.91,19.57,0,1,832
2522,11.91,19.57,0,1,833
2525,11.91,19.57,0,1,834
2528,11.91,19.49,0,1,835
2531,11.91,19.57,0,1,836
2534,11.91,19.66,0,1,837
2537,11.91,19.66,0,1,838
2540,11.89,19.66,0,1,839
2543,11.91,19.66,0,1,840
2546,11.91,19.66,1,1,841
2549,11.91,19.75,1,1,842
2552,11.91,19.75,0,1,843
2555,11.91,19.75,0,1,844
2558,11.89,19.75,0,1,845
2561,11.91,19.75,0,1,846
2564,11.91,19.75,0,1,847
2567,11.91,19.75,1,1,848
2570,11.91,19.75,0,1,849
2574,11.91,19.83,0,1,850
2577,11.89,19.92,0,1,851
2580,11.91,19.92,0,1,852
2583,11.91,19.92,0,1,853
2586,11.91,19.83,1,1,854
2589,11.91,19.92,0,1,855
2592,11.89,19.83,0,1,856
2595,11.89,19.75,0,1,857
2598,11.91,19.66,0,1,858
2601,11.91,19.66,0,1,859
2604,11.91,19.66,0,1,860
2607,11.91,19.83,0,1,861
2610,11.91,19.75,0,1,862
2613,11.91,19.75,0,1,863
2616,11.91,19.75,0,1,864
2619,11.91,19.83,0,1,865
2622,11.89,19.83,0,1,866
